nom,note,date,texte
fatma Bouraoui,1.0,2023 05 28,"Don't go to the cage if you want non-alcoholic coffee and dessert. Millefeuille at $9 in edible soft and not crispy, unemployment cake that looks nothing like unemployment cake, a waiter who looks down on you if you don't order alcohol ... just remove the desserts from the menu. The rest is correct but over over priced"
Me,2.0,2023 05 26,"Sports bar: giant tv screens, worn carpets, lots of noise. On the plus side, we were served promptly and the burger was decent. Salad tasted like toilet cleaner. Waiter seemed overworked."
Paul Milroy,5.0,2023 05 25,"Great food, Honorable employers; 1 Timothy 5:18 NCV because the Scripture says: “When an ox is working in the grain, do not cover its mouth to keep it from eating,” and “A worker should be given his pay.”"
claude et heidi Sauve,5.0,2023 05 24,Superb service we received tonight!
Hanan Bsat,1.0,2023 05 24,"Worst customer service , never again"
manel sedra,5.0,2023 05 24,
Hugues Beauchamp,5.0,2023 05 24,"Excellent service and fast. The lobster poke bowl was scrumptious, way beyond my expectations for a sports restaurant chain. Ideal location for a meal before activities on Ste-Catherine."
José Alejandro Roa Bolívar,5.0,2023 05 24,
Vanessa Carias,2.0,2023 05 24,Had drinks so cannot comment on the food but rude service and would not come back.
David Orlando Grajales Lopera,5.0,2023 05 17,
MATHIEU COMBES,4.0,2023 05 17,"Good atmosphere, decent food"
Nooman Kahwaji,1.0,2023 05 17,The host at the front door was extremely rude and condescending to me and my friend. I had a reservation at 8pm and she made me wait in line with the people who did not have reservation for no apparent reason. The manager spoke with her and apologized for her rude behavior. He said the reason she was impolite was because of her age (18 year old). Teach the greeting staff to have some manners.
Cyril F,4.0,2023 05 17,
P-O Lemieux,5.0,2023 05 17,
Maria Calderon,4.0,2023 05 10,The 30 minute wait was worth it. The food very well served and to our liking.
Alexandra Martel,5.0,2023 05 10,The staff is so friendly and the food is amazing
William A,1.0,2023 05 10,"$27 for 4 mcs of cold, tiny chicken with fries. What is it called???? I do not recommend this place is never again I will order there"
Marie Dumesnil,5.0,2023 05 10,
Jason Miller,5.0,2023 05 10,Pleasantly surprised. I was expecting a generic sports bar and grill and found a truly great restaurant with the best wings I have had in Montreal. Wow.
Miguel Manyari,1.0,2023 05 10,"Went there to watch formula 1 , we made a reservation and when the race started there was not sound, we went to the employees and they told us with disdain: ""Sorry, there's no sound for Formula 1 you should've asked on the phone before coming"" , like we were supposed to know which is outrageous and extremely frustrating. Worst experience ever, never coming back."
supraman49 Morgan,1.0,2023 05 10,"Not able to take reservations if they have more than 30 people arriving at the same time... Rental in the city center, chamber of commerce that fights for workers to return to the office, but businesses do not provide? Whatever, please hire managers who care about revenue and not their own limitation!"
David Weber,1.0,2023 05 10,They forgot about our food. People around us were getting their food and than the waitress comes to us...havent you received your food yet. About 5 minutes later she comes back. There was a problem with the computer and it seems to have dropped our order. Not very impressive.
Jamie B,3.0,2023 05 10,"We came during lunch. There is no lunch menu, so you must pay dinner prices at lunch. Interestingly, this doesn't seem to bother people since the restaurant was packed. Arrive before 12 o'clock to avoid the rush of people that descend upon the restaurant from their offices in Complexe Desjardins during weekdays. Good food. The meal took some time to arrive. Free popcorn is a cute touch."
