Date;Prevision;Vente
21/05/2023;18000;21084.84
20/05/2023;25000;33030.85
19/05/2023;21000;33632.64
18/05/2023;25000;23333.76
17/05/2023;21000;23617.35
16/05/2023;21000;20671.35
15/05/2023;16000;15690.51
14/05/2023;18000;17234.3
13/05/2023;24000;25134.97
12/05/2023;22000;32249.88
11/05/2023;24000;30070.02
10/05/2023;22000;28480.82
09/05/2023;21000;19771.21
08/05/2023;15000;15096.09
07/05/2023;18000;21184.03
06/05/2023;30000;29353.82
05/05/2023;23000;18888.29
04/05/2023;25000;23106.97
03/05/2023;20000;21749.08
02/05/2023;17500;21988.59
01/05/2023;10000;17269.41
30/04/2023;14000;20770.29
29/04/2023;22000;23870.73
28/04/2023;21000;21285.9
27/04/2023;24000;22241.46
26/04/2023;18000;23787
25/04/2023;15000;18456.28
24/04/2023;10000;12678.22
23/04/2023;16000;13576.95
22/04/2023;23000;24894.57
21/04/2023;22000;23521.31
20/04/2023;23000;26164.01
19/04/2023;17000;22187.5
18/04/2023;16000;15019.81
17/04/2023;13000;15062.28
16/04/2023;15000;18867.34
15/04/2023;21000;28730.26
14/04/2023;20000;30834.53
13/04/2023;21000;27662.82
12/04/2023;18000;18990.99
11/04/2023;17000;14869.69
10/04/2023;13000;9065.08
09/04/2023;17000;11010.96
08/04/2023;27000;24680.31
07/04/2023;21000;20256.97
06/04/2023;22000;26774.34
05/04/2023;18000;18426.05
04/04/2023;16000;14260.19
03/04/2023;10000;14207.79
02/04/2023;14000;17165.29
01/04/2023;23000;23206.74
31/03/2023;21000;19656.43
30/03/2023;22000;21295.49
29/03/2023;18000;17471.42
28/03/2023;15000;17002.76
27/03/2023;10000;10519.91
26/03/2023;14000;13995.46
25/03/2023;23000;19925.6
24/03/2023;21000;19190.57
23/03/2023;22000;20748.38
22/03/2023;18000;17794.7
21/03/2023;15000;15980.98
20/03/2023;10000;9396.3
19/03/2023;14000;16640.14
18/03/2023;23000;25613.32
17/03/2023;22000;20935.23
16/03/2023;23000;24036.11
15/03/2023;18000;22775.86
14/03/2023;15000;16910.78
13/03/2023;10000;11340.06
12/03/2023;13000;11747.03
11/03/2023;22000;23977.74
10/03/2023;20000;18626.76
09/03/2023;22000;19975.51
08/03/2023;16000;18136.16
07/03/2023;14000;13997.38
06/03/2023;9000;7142.63
05/03/2023;13000;14726.15
