date,vente,tache,salaire_day,jour_semaine,saison,ratio_salaire_vente
2023-08-01,17036.75,AIDE-SERV.,1374.5258333333334,1,8,8.07
2023-08-01,17036.75,CUISINE,1740.1833333333334,1,8,10.21
2023-08-01,17036.75,SERVICE,970.7133333333333,1,8,5.7
2023-07-31,12878.16,AIDE-SERV.,1070.4033333333334,0,7,8.31
2023-07-31,12878.16,CUISINE,1751.0941666666668,0,7,13.6
2023-07-31,12878.16,SERVICE,275.51666666666665,0,7,2.14
2023-07-30,21749.92,AIDE-SERV.,1882.3541666666665,6,7,8.65
2023-07-30,21749.92,CUISINE,1872.2575,6,7,8.61
2023-07-30,21749.92,SERVICE,1913.57,6,7,8.8
2023-07-29,40659.01,AIDE-SERV.,1383.45,5,7,3.4
2023-07-29,40659.01,CUISINE,2398.9416666666666,5,7,5.9
2023-07-29,40659.01,SERVICE,499.59,5,7,1.23
2023-07-28,30934.98,AIDE-SERV.,1755.0149999999999,4,7,5.67
2023-07-28,30934.98,CUISINE,2411.2291666666665,4,7,7.79
2023-07-28,30934.98,SERVICE,1195.6,4,7,3.86
2023-07-27,37057.46,AIDE-SERV.,1915.2533333333333,3,7,5.17
2023-07-27,37057.46,CUISINE,2182.758333333333,3,7,5.89
2023-07-27,37057.46,SERVICE,945.0933333333332,3,7,2.55
2023-07-26,34423.87,AIDE-SERV.,1151.6091666666666,2,7,3.35
2023-07-26,34423.87,CUISINE,2125.7083333333335,2,7,6.18
2023-07-26,34423.87,SERVICE,865.9966666666666,2,7,2.52
2023-07-25,27097.28,AIDE-SERV.,1397.1483333333333,1,7,5.16
2023-07-25,27097.28,CUISINE,1743.0091666666667,1,7,6.43
2023-07-25,27097.28,SERVICE,992.4699999999999,1,7,3.66
2023-07-24,19463.96,AIDE-SERV.,1034.7566666666667,0,7,5.32
2023-07-24,19463.96,CUISINE,2028.9916666666666,0,7,10.42
2023-07-24,19463.96,SERVICE,1279.9833333333333,0,7,6.58
2023-07-23,30445.09,AIDE-SERV.,1782.3525,6,7,5.85
2023-07-23,30445.09,CUISINE,2024.5616666666667,6,7,6.65
2023-07-23,30445.09,SERVICE,1336.51,6,7,4.39
2023-07-22,35382.07,AIDE-SERV.,1935.8408333333332,5,7,5.47
2023-07-22,35382.07,CUISINE,2384.5658333333336,5,7,6.74
2023-07-22,35382.07,SERVICE,1089.6633333333332,5,7,3.08
2023-07-21,31448.54,AIDE-SERV.,1552.6866666666667,4,7,4.94
2023-07-21,31448.54,CUISINE,1954.4566666666667,4,7,6.21
2023-07-21,31448.54,SERVICE,779.5799999999999,4,7,2.48
2023-07-20,38107.57,AIDE-SERV.,1433.1833333333334,3,7,3.76
2023-07-20,38107.57,CUISINE,2126.204166666667,3,7,5.58
2023-07-20,38107.57,SERVICE,1020.53,3,7,2.68
2023-07-19,21925.86,AIDE-SERV.,1195.3266666666666,2,7,5.45
2023-07-19,21925.86,CUISINE,1557.92,2,7,7.11
2023-07-19,21925.86,SERVICE,640.7033333333333,2,7,2.92
2023-07-18,17157.44,AIDE-SERV.,920.1616666666666,1,7,5.36
2023-07-18,17157.44,CUISINE,1392.605,1,7,8.12
2023-07-18,17157.44,SERVICE,783.6466666666666,1,7,4.57
2023-07-17,13423.93,AIDE-SERV.,1194.5025,0,7,8.9
2023-07-17,13423.93,CUISINE,1855.3858333333333,0,7,13.82
2023-07-17,13423.93,SERVICE,718.9866666666666,0,7,5.36
2023-07-16,18064.98,AIDE-SERV.,1738.2558333333332,6,7,9.62
2023-07-16,18064.98,CUISINE,2445.6608333333334,6,7,13.54
2023-07-16,18064.98,SERVICE,1389.1733333333332,6,7,7.69
2023-07-15,32780.37,AIDE-SERV.,1976.2658333333331,5,7,6.03
2023-07-15,32780.37,CUISINE,2537.355,5,7,7.74
2023-07-15,32780.37,SERVICE,1149.85,5,7,3.51
2023-07-14,33130.59,AIDE-SERV.,875.75,4,7,2.64
2023-07-14,33130.59,CUISINE,2507.8241666666668,4,7,7.57
2023-07-14,33130.59,SERVICE,687.0633333333333,4,7,2.07
2023-07-13,22366.81,AIDE-SERV.,1585.3525,3,7,7.09
2023-07-13,22366.81,CUISINE,2092.015,3,7,9.35
2023-07-13,22366.81,SERVICE,1031.1033333333332,3,7,4.61
2023-07-12,20815.71,AIDE-SERV.,919.7099999999999,2,7,4.42
2023-07-12,20815.71,CUISINE,1508.3766666666666,2,7,7.25
2023-07-12,20815.71,SERVICE,649.4466666666666,2,7,3.12
2023-07-11,14926.34,AIDE-SERV.,952.7708333333333,1,7,6.38
2023-07-11,14926.34,CUISINE,1629.3866666666668,1,7,10.92
2023-07-11,14926.34,SERVICE,694.9933333333332,1,7,4.66
2023-07-10,10876.69,AIDE-SERV.,897.6166666666667,0,7,8.25
2023-07-10,10876.69,CUISINE,1798.41,0,7,16.53
2023-07-10,10876.69,SERVICE,394.26333333333326,0,7,3.62
2023-07-09,15595.49,AIDE-SERV.,2217.480833333333,6,7,14.22
2023-07-09,15595.49,CUISINE,2660.7966666666666,6,7,17.06
2023-07-09,15595.49,SERVICE,1824.9166666666665,6,7,11.7
2023-07-08,44215.45,AIDE-SERV.,2021.435,5,7,4.57
2023-07-08,44215.45,CUISINE,2927.8758333333335,5,7,6.62
2023-07-08,44215.45,SERVICE,1261.2766666666666,5,7,2.85
2023-07-07,37603.77,AIDE-SERV.,1450.435,4,7,3.86
2023-07-07,37603.77,CUISINE,2568.2633333333333,4,7,6.83
2023-07-07,37603.77,SERVICE,1059.57,4,7,2.82
2023-07-06,37301.45,AIDE-SERV.,2061.9166666666665,3,7,5.53
2023-07-06,37301.45,CUISINE,2934.1483333333335,3,7,7.87
2023-07-06,37301.45,SERVICE,1508.3266666666666,3,7,4.04
2023-07-05,37782.23,AIDE-SERV.,1665.5733333333333,2,7,4.41
2023-07-05,37782.23,CUISINE,2005.2158333333332,2,7,5.31
2023-07-05,37782.23,SERVICE,872.3,2,7,2.31
2023-07-04,26200.4,AIDE-SERV.,1521.2424999999998,1,7,5.81
2023-07-04,26200.4,CUISINE,2710.9216666666666,1,7,10.35
2023-07-04,26200.4,SERVICE,1374.7366666666667,1,7,5.25
2023-07-03,28423.75,AIDE-SERV.,1679.3916666666667,0,7,5.91
2023-07-03,28423.75,CUISINE,2281.4375,0,7,8.03
2023-07-03,28423.75,SERVICE,1298.4866666666667,0,7,4.57
2023-07-02,32796.43,AIDE-SERV.,1631.1441666666665,6,7,4.97
2023-07-02,32796.43,CUISINE,2278.0575,6,7,6.95
2023-07-02,32796.43,SERVICE,939.4,6,7,2.86
2023-07-01,33995.92,AIDE-SERV.,2348.9575,5,7,6.91
2023-07-01,33995.92,CUISINE,2572.6208333333334,5,7,7.57
2023-07-01,33995.92,SERVICE,1710.0333333333333,5,7,5.03
2023-06-30,39807.12,AIDE-SERV.,1593.1366666666665,4,6,4.0
2023-06-30,39807.12,CUISINE,2663.01,4,6,6.69
2023-06-30,39807.12,SERVICE,1049.1999999999998,4,6,2.64
2023-06-29,35566.05,AIDE-SERV.,1347.9658333333332,3,6,3.79
2023-06-29,35566.05,CUISINE,2246.4049999999997,3,6,6.32
2023-06-29,35566.05,SERVICE,1015.4466666666666,3,6,2.86
2023-06-28,20233.6,AIDE-SERV.,868.1199999999999,2,6,4.29
2023-06-28,20233.6,CUISINE,1936.0025,2,6,9.57
2023-06-28,20233.6,SERVICE,653.31,2,6,3.23
2023-06-27,16165.28,AIDE-SERV.,944.3199999999999,1,6,5.84
2023-06-27,16165.28,CUISINE,1601.135,1,6,9.9
2023-06-27,16165.28,SERVICE,868.2333333333333,1,6,5.37
2023-06-26,11787.57,AIDE-SERV.,857.8233333333333,0,6,7.28
2023-06-26,11787.57,CUISINE,2039.5283333333334,0,6,17.3
2023-06-26,11787.57,SERVICE,593.9366666666666,0,6,5.04
2023-06-25,14419.24,AIDE-SERV.,1318.3666666666666,6,6,9.14
2023-06-25,14419.24,CUISINE,2827.5775,6,6,19.61
2023-06-25,14419.24,SERVICE,948.9566666666666,6,6,6.58
2023-06-24,21014.8,AIDE-SERV.,1297.6866666666667,5,6,6.18
2023-06-24,21014.8,CUISINE,2107.7816666666668,5,6,10.03
2023-06-24,21014.8,SERVICE,1062.01,5,6,5.05
2023-06-23,19835.27,AIDE-SERV.,1451.9366666666667,4,6,7.32
2023-06-23,19835.27,CUISINE,2597.5775,4,6,13.1
2023-06-23,19835.27,SERVICE,1079.6999999999998,4,6,5.44
2023-06-22,29726.44,AIDE-SERV.,1326.4,3,6,4.46
2023-06-22,29726.44,CUISINE,2200.3508333333334,3,6,7.4
2023-06-22,29726.44,SERVICE,966.6466666666666,3,6,3.25
2023-06-21,27496.58,AIDE-SERV.,731.3166666666666,2,6,2.66
2023-06-21,27496.58,CUISINE,1614.8983333333333,2,6,5.87
2023-06-21,27496.58,SERVICE,821.06,2,6,2.99
2023-06-20,21226.4,AIDE-SERV.,1076.2566666666667,1,6,5.07
2023-06-20,21226.4,CUISINE,1797.8391666666666,1,6,8.47
2023-06-20,21226.4,SERVICE,938.9933333333332,1,6,4.42
2023-06-19,12537.3,AIDE-SERV.,1094.1233333333332,0,6,8.73
2023-06-19,12537.3,CUISINE,1816.0175,0,6,14.48
2023-06-19,12537.3,SERVICE,659.2066666666666,0,6,5.26
2023-06-18,27189.95,AIDE-SERV.,1756.685,6,6,6.46
2023-06-18,27189.95,CUISINE,2573.0550000000003,6,6,9.46
2023-06-18,27189.95,SERVICE,1500.3966666666665,6,6,5.52
2023-06-17,38546.22,AIDE-SERV.,1950.3933333333332,5,6,5.06
2023-06-17,38546.22,CUISINE,2365.5291666666667,5,6,6.14
2023-06-17,38546.22,SERVICE,1689.4966666666667,5,6,4.38
2023-06-16,36604.51,AIDE-SERV.,1418.6108333333332,4,6,3.88
2023-06-16,36604.51,CUISINE,2205.661666666667,4,6,6.03
2023-06-16,36604.51,SERVICE,815.9766666666667,4,6,2.23
2023-06-15,37094.28,AIDE-SERV.,1362.8133333333333,3,6,3.67
2023-06-15,37094.28,CUISINE,1980.485,3,6,5.34
2023-06-15,37094.28,SERVICE,1257.0066666666667,3,6,3.39
2023-06-14,32118.51,AIDE-SERV.,1511.2958333333333,2,6,4.71
2023-06-14,32118.51,CUISINE,2262.119166666667,2,6,7.04
2023-06-14,32118.51,SERVICE,1413.5733333333333,2,6,4.4
2023-06-13,24425.61,AIDE-SERV.,1260.7425,1,6,5.16
2023-06-13,24425.61,CUISINE,1796.3308333333334,1,6,7.35
2023-06-13,24425.61,SERVICE,1052.0466666666666,1,6,4.31
2023-06-12,14975.52,AIDE-SERV.,986.9533333333333,0,6,6.59
2023-06-12,14975.52,CUISINE,2309.3675000000003,0,6,15.42
2023-06-12,14975.52,SERVICE,555.71,0,6,3.71
2023-06-11,21419.25,AIDE-SERV.,2594.3083333333334,6,6,12.11
2023-06-11,21419.25,CUISINE,2403.4975,6,6,11.22
2023-06-11,21419.25,SERVICE,1914.3833333333332,6,6,8.94
2023-06-09,72979.57,AIDE-SERV.,953.66,4,6,1.31
2023-06-09,72979.57,CUISINE,2242.4133333333334,4,6,3.07
2023-06-09,72979.57,SERVICE,1039.2366666666667,4,6,1.42
2023-06-08,26867.75,AIDE-SERV.,1273.3233333333333,3,6,4.74
2023-06-08,26867.75,CUISINE,2231.9108333333334,3,6,8.31
2023-06-08,26867.75,SERVICE,1123.8233333333333,3,6,4.18
2023-06-07,24230.6,AIDE-SERV.,1057.8799999999999,2,6,4.37
2023-06-07,24230.6,CUISINE,1929.6841666666667,2,6,7.96
2023-06-07,24230.6,SERVICE,808.25,2,6,3.34
2023-06-06,18644.43,AIDE-SERV.,1116.0708333333332,1,6,5.99
2023-06-06,18644.43,CUISINE,2320.8175,1,6,12.45
