Total,Plu,Description,Qté_11,Mnt_11,Qté_21,Mnt_21,Qté_31,Mnt_31,Qté_41,Mnt_41,Qté_51,Mnt_51,Qté_12,Mnt_12,Qté_22,Mnt_22,Qté_32,Mnt_32,Qté_42,Mnt_42,Qté_52,Mnt_52,Qté_13,Mnt_13,Qté_23,Mnt_23,Qté_33,Mnt_33,Qté_43,Mnt_43,Qté_53,Mnt_53
"""""","""""","""""",175778.00,1940429.36,52095.00,435155.39,149482.00,1354016.46,250374.00,2240751.81,627729.00,5970353.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"""""","""1025""","""FUT LIGNE 3 DG""",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"""""","""105""","""B2F1""",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"""AILES""","""11010001""","""8 AILES BUFFALO""",8806.00,101582.17,3049.00,37126.38,10255.00,120995.87,17214.00,202511.13,39324.00,462215.55,8806.00,101582.17,3049.00,37126.38,10255.00,120995.87,17214.00,202511.13,39324.00,462215.55,8806.00,101582.17,3049.00,37126.38,10255.00,120995.87,17214.00,202511.13,39324.00,462215.55
"""AILES""","""11010002""","""16 AILES BUFFALO""",3636.00,73915.20,1463.00,30864.69,5474.00,112362.73,11072.00,226717.95,21645.00,443860.57,12442.00,175497.37,4512.00,67991.07,15729.00,233358.60,28286.00,429229.08,60969.00,906076.12,12442.00,175497.37,4512.00,67991.07,15729.00,233358.60,28286.00,429229.08,60969.00,906076.12
"""AILES""","""11010005""","""16 AILES MIXTES""",253.00,5185.48,82.00,1665.48,484.00,9892.71,896.00,18224.54,1715.00,34968.21,12695.00,180682.85,4594.00,69656.55,16213.00,243251.31,29182.00,447453.62,62684.00,941044.33,12695.00,180682.85,4594.00,69656.55,16213.00,243251.31,29182.00,447453.62,62684.00,941044.33
"""AILES""","""11010008""","""24 AILES MIXTES""",991.00,6658.78,223.00,1721.03,960.00,7083.09,1149.00,10075.89,3323.00,25538.79,13686.00,187341.63,4817.00,71377.58,17173.00,250334.40,30331.00,457529.51,66007.00,966583.12,13686.00,187341.63,4817.00,71377.58,17173.00,250334.40,30331.00,457529.51,66007.00,966583.12
"""AILES""","""11010011""","""8 AILES 911""",1986.00,23313.43,746.00,9324.76,2004.00,23862.58,3660.00,42962.15,8396.00,99462.92,15672.00,210655.06,5563.00,80702.34,19177.00,274196.98,33991.00,500491.66,74403.00,1066046.04,15672.00,210655.06,5563.00,80702.34,19177.00,274196.98,33991.00,500491.66,74403.00,1066046.04
"""AILES""","""11010012""","""16 AILES 911""",774.00,15831.88,427.00,9194.33,1020.00,21033.28,2270.00,46624.46,4491.00,92683.95,16446.00,226486.94,5990.00,89896.67,20197.00,295230.26,36261.00,547116.12,78894.00,1158729.99,16446.00,226486.94,5990.00,89896.67,20197.00,295230.26,36261.00,547116.12,78894.00,1158729.99
"""AILES""","""11010049""","""4 AILES 911""",34.00,220.94,17.00,114.50,23.00,144.46,44.00,281.82,118.00,761.72,16480.00,226707.88,6007.00,90011.17,20220.00,295374.72,36305.00,547397.94,79012.00,1159491.71,16480.00,226707.88,6007.00,90011.17,20220.00,295374.72,36305.00,547397.94,79012.00,1159491.71
"""AILES""","""11010050""","""4 AILES BUFFALO""",99.00,653.19,26.00,168.26,85.00,542.46,142.00,881.48,352.00,2245.39,16579.00,227361.07,6033.00,90179.43,20305.00,295917.18,36447.00,548279.42,79364.00,1161737.10,16579.00,227361.07,6033.00,90179.43,20305.00,295917.18,36447.00,548279.42,79364.00,1161737.10
"""AILES""","""11010135""","""24 AILES BUFFALO""",985.00,27540.39,482.00,14365.85,2071.00,58911.15,4259.00,119258.67,7797.00,220076.06,17564.00,254901.46,6515.00,104545.28,22376.00,354828.33,40706.00,667538.09,87161.00,1381813.16,17564.00,254901.46,6515.00,104545.28,22376.00,354828.33,40706.00,667538.09,87161.00,1381813.16
"""AILES""","""11010136""","""24 AILES 911""",302.00,8698.31,101.00,3045.79,389.00,11060.59,960.00,27043.14,1752.00,49847.83,17866.00,263599.77,6616.00,107591.07,22765.00,365888.92,41666.00,694581.23,88913.00,1431660.99,17866.00,263599.77,6616.00,107591.07,22765.00,365888.92,41666.00,694581.23,88913.00,1431660.99
"""AILES""","""11010262""","""8 AILES SEL/P""",2542.00,30337.48,1175.00,14593.75,3584.00,43254.59,6129.00,73377.49,13430.00,161563.31,20408.00,293937.25,7791.00,122184.82,26349.00,409143.51,47795.00,767958.72,102343.00,1593224.30,20408.00,293937.25,7791.00,122184.82,26349.00,409143.51,47795.00,767958.72,102343.00,1593224.30
"""AILES""","""11010263""","""16 AILES SEL/P""",843.00,17496.47,457.00,9887.29,1391.00,29156.79,2524.00,52653.49,5215.00,109194.04,21251.00,311433.72,8248.00,132072.11,27740.00,438300.30,50319.00,820612.21,107558.00,1702418.34,21251.00,311433.72,8248.00,132072.11,27740.00,438300.30,50319.00,820612.21,107558.00,1702418.34
"""AILES""","""11010266""","""4 AILES SEL/P""",26.00,173.75,12.00,81.00,23.00,147.26,62.00,389.59,123.00,791.60,21277.00,311607.47,8260.00,132153.11,27763.00,438447.56,50381.00,821001.80,107681.00,1703209.94,21277.00,311607.47,8260.00,132153.11,27763.00,438447.56,50381.00,821001.80,107681.00,1703209.94
"""AILES""","""11010268""","""24 AILES SEL/P""",255.00,7239.09,167.00,5182.62,559.00,16292.85,1124.00,32361.24,2105.00,61075.80,21532.00,318846.56,8427.00,137335.73,28322.00,454740.41,51505.00,853363.04,109786.00,1764285.74,21532.00,318846.56,8427.00,137335.73,28322.00,454740.41,51505.00,853363.04,109786.00,1764285.74
"""AILES""","""11150772""","""AILES BUFFALO FRITES""",3038.00,41144.77,0.00,0.00,2.00,30.00,7.00,105.50,3047.00,41280.27,24570.00,359991.33,8427.00,137335.73,28324.00,454770.41,51512.00,853468.54,112833.00,1805566.01,24570.00,359991.33,8427.00,137335.73,28324.00,454770.41,51512.00,853468.54,112833.00,1805566.01
"""AILES""","""11150773""","""AILES 911 FRITES""",757.00,10261.12,0.00,0.00,1.00,15.00,2.00,30.00,760.00,10306.12,25327.00,370252.45,8427.00,137335.73,28325.00,454785.41,51514.00,853498.54,113593.00,1815872.13,25327.00,370252.45,8427.00,137335.73,28325.00,454785.41,51514.00,853498.54,113593.00,1815872.13
"""AILES""","""11150776""","""AILES SEL/P FRITES""",849.00,11634.54,0.00,0.00,1.00,15.00,3.00,45.00,853.00,11694.54,26176.00,381886.99,8427.00,137335.73,28326.00,454800.41,51517.00,853543.54,114446.00,1827566.67,26176.00,381886.99,8427.00,137335.73,28326.00,454800.41,51517.00,853543.54,114446.00,1827566.67
"""AJOUT EXTRA""","""11020202""","""PORTION FRITES""",603.00,3085.52,136.00,680.00,428.00,2351.51,771.00,4022.07,1938.00,10139.10,603.00,3085.52,136.00,680.00,428.00,2351.51,771.00,4022.07,1938.00,10139.10,26779.00,384972.51,8563.00,138015.73,28754.00,457151.92,52288.00,857565.61,116384.00,1837705.77
