date,roles
2023-05-29 10:30,"BS, Hôtesse bookenda_2, Hôtesse bookenda"
2023-05-29 11:00,"BS, Passe Plat, Hôtesse bookenda_2, Service, Sur appel | Service | Serveur(se), Hôtesse bookenda"
2023-05-29 11:30,"BS, Passe Plat, Hôtesse bookenda_2, Service, Sur appel | Service | Serveur(se), Hôtesse bookenda"
2023-05-29 12:00,"BS, Passe Plat, Hôtesse bookenda_2, Service, Sur appel | Service | Serveur(se), Hôtesse bookenda"
2023-05-29 12:30,"BS, Passe Plat, Hôtesse bookenda_2, Service, Sur appel | Service | Serveur(se), Hôtesse bookenda"
2023-05-29 13:00,"BS, Passe Plat, Hôtesse bookenda_2, Service, Sur appel | Service | Serveur(se), Hôtesse bookenda"
2023-05-29 13:30,"BS, Passe Plat, Hôtesse bookenda_2, Service, Sur appel | Service | Serveur(se), Hôtesse bookenda"
2023-05-29 14:00,"BS, Hôtesse bookenda_2, Service, Passe Plat"
2023-05-29 14:30,"BS, Hôtesse bookenda_2, Service, Passe Plat"
2023-05-29 15:00,"BS, Hôtesse bookenda_2, Service"
2023-05-29 15:30,"BS, Hôtesse bookenda_2, Service"
2023-05-29 16:00,"Aide-serveur, Passe Plat_2, Service_2, BS_2, Hôte"
2023-05-29 16:30,"Aide-serveur, Passe Plat_2, Service_2, BS_2, Hôte"
2023-05-29 17:00,"Sur appel | Aide-serveur, Aide-serveur, Sur appel | Service | Serveur(se)_2, Aide-serveur_2, Passe Plat_2, Service_2, BS_2, Hôtesse bookenda_3, Hôte"
2023-05-29 17:30,"Sur appel | Aide-serveur, Aide-serveur, Sur appel | Service | Serveur(se)_2, Aide-serveur_2, Passe Plat_2, Service_2, BS_2, Hôtesse bookenda_3, Hôte"
2023-05-29 18:00,"Sur appel | Aide-serveur, Aide-serveur, Sur appel | Service | Serveur(se)_2, Aide-serveur_2, Passe Plat_2, Service_2, BS_2, Hôtesse bookenda_3, Hôte"
2023-05-29 18:30,"Sur appel | Aide-serveur, Aide-serveur, Sur appel | Service | Serveur(se)_2, Aide-serveur_2, Passe Plat_2, Service_2, BS_2, Hôtesse bookenda_3, Hôte"
2023-05-29 19:00,"Sur appel | Aide-serveur, Aide-serveur, Sur appel | Service | Serveur(se)_2, Aide-serveur_2, Passe Plat_2, Service_2, BS_2, Hôtesse bookenda_3, Hôte"
2023-05-29 19:30,"Sur appel | Aide-serveur, Aide-serveur, Sur appel | Service | Serveur(se)_2, Aide-serveur_2, Passe Plat_2, Service_2, BS_2, Hôtesse bookenda_3, Hôte"
2023-05-29 20:00,"Sur appel | Aide-serveur, Aide-serveur, Sur appel | Service | Serveur(se)_2, Aide-serveur_2, Passe Plat_2, Service_2, BS_2, Hôtesse bookenda_3, Hôte"
2023-05-29 20:30,"Sur appel | Aide-serveur, Aide-serveur, Sur appel | Service | Serveur(se)_2, Aide-serveur_2, Passe Plat_2, Service_2, BS_2, Hôtesse bookenda_3, Hôte"
2023-05-29 21:00,"Sur appel | Aide-serveur, Aide-serveur, Aide-serveur_2, Passe Plat_2, Service_2, BS_2, Hôte"
2023-05-29 21:30,"Sur appel | Aide-serveur, Aide-serveur, Aide-serveur_2, Passe Plat_2, Service_2, BS_2, Hôte"
2023-05-29 22:00,"Aide-serveur, Aide-serveur_2, Passe Plat_2, Service_2, BS_2, Hôte"
2023-05-29 22:30,"Aide-serveur, Aide-serveur_2, Passe Plat_2, Service_2, BS_2, Hôte"
2023-05-29 23:00,"Aide-serveur, Passe Plat_2, Service_2, BS_2"
2023-05-29 23:30,"Aide-serveur, Passe Plat_2, Service_2, BS_2"
2023-05-29 00:00,"Aide-serveur, Passe Plat_2, Service_2, BS_2"
2023-05-29 00:30,Service_2
2023-05-29 01:00,Service_2
2023-05-30 10:30,"BS, Hôtesse bookenda"
2023-05-30 11:00,"BS, Passe Plat, Hôtesse bookenda"
2023-05-30 11:30,"BS, Passe Plat, Hôtesse bookenda"
2023-05-30 12:00,"BS, Passe Plat, Hôtesse bookenda"
2023-05-30 12:30,"BS, Passe Plat, Hôtesse bookenda"
2023-05-30 13:00,"BS, Passe Plat, Hôtesse bookenda"
2023-05-30 13:30,"BS, Passe Plat, Hôtesse bookenda"
2023-05-30 14:00,"BS, Passe Plat, Hôtesse bookenda"
2023-05-30 14:30,"BS, Passe Plat, Hôtesse bookenda"
2023-05-30 15:00,"BS, Passe Plat, Hôtesse bookenda_2, Hôtesse bookenda_3, Hôtesse bookenda"
2023-05-30 15:30,"BS, Passe Plat, Hôtesse bookenda_2, Hôtesse bookenda_3, Hôtesse bookenda"
2023-05-30 16:00,"Sur appel | Aide-serveur, Aide-serveur, Hôtesse bookenda_2, Hôtesse bookenda_3, Passe Plat_2, BS_2, BS_3"
2023-05-30 16:30,"Sur appel | Aide-serveur, Aide-serveur, Hôtesse bookenda_2, Hôtesse bookenda_3, Passe Plat_2, BS_2, BS_3"
2023-05-30 17:00,"Sur appel | Aide-serveur, Aide-serveur, Hôtesse bookenda_2, Hôtesse bookenda_3, Passe Plat_2, BS_2, Hôte, BS_3"
2023-05-30 17:30,"Sur appel | Aide-serveur, Aide-serveur, Hôtesse bookenda_2, Hôtesse bookenda_3, Passe Plat_2, BS_2, Hôte, BS_3"
2023-05-30 18:00,"Sur appel | Aide-serveur, Aide-serveur, Hôtesse bookenda_2, Aide-serveur_2, Hôtesse bookenda_3, Passe Plat_2, BS_2, Hôte, BS_3"
2023-05-30 18:30,"Sur appel | Aide-serveur, Aide-serveur, Hôtesse bookenda_2, Aide-serveur_2, Hôtesse bookenda_3, Passe Plat_2, BS_2, Hôte, BS_3"
2023-05-30 19:00,"Sur appel | Aide-serveur, Aide-serveur, Hôtesse bookenda_2, Aide-serveur_2, Hôtesse bookenda_3, Passe Plat_2, BS_2, Hôte, BS_3"
2023-05-30 19:30,"Sur appel | Aide-serveur, Aide-serveur, Hôtesse bookenda_2, Aide-serveur_2, Hôtesse bookenda_3, Passe Plat_2, BS_2, Hôte, BS_3"
2023-05-30 20:00,"Sur appel | Aide-serveur, Aide-serveur, Hôtesse bookenda_2, Aide-serveur_2, Hôtesse bookenda_3, Passe Plat_2, BS_2, Hôte, BS_3"
2023-05-30 20:30,"Sur appel | Aide-serveur, Aide-serveur, Hôtesse bookenda_2, Aide-serveur_2, Hôtesse bookenda_3, Passe Plat_2, BS_2, Hôte, BS_3"
2023-05-30 21:00,"Sur appel | Aide-serveur, Aide-serveur_2, Passe Plat_2, Hôtesse bookenda_3, BS_2, BS_3"
2023-05-30 21:30,"Sur appel | Aide-serveur, Aide-serveur_2, Passe Plat_2, Hôtesse bookenda_3, BS_2, BS_3"
2023-05-30 22:00,"Sur appel | Aide-serveur, Aide-serveur_2, Passe Plat_2, Hôtesse bookenda_3, BS_3"
