Date,vente
2023-09-15,12222.69
2023-09-14,11244.54
2023-09-13,6514.32
2023-09-12,5708.35
2023-09-11,3031.55
2023-09-10,7169.13
2023-09-09,13410.11
2023-09-08,11452.05
2023-09-07,10128.64
2023-09-06,5281.94
2023-09-05,4951.26
2023-09-04,383.0
2023-09-03,7747.06
2023-09-02,5116.55
2023-09-01,7902.37
2023-08-31,9386.26
2023-08-30,6703.41
2023-08-29,5414.54
2023-08-28,5056.17
2023-08-27,8373.41
2023-08-26,9727.91
2023-08-25,14208.07
2023-08-24,10429.05
2023-08-23,7556.52
2023-08-22,6025.03
2023-08-21,5153.13
2023-08-20,9445.73
2023-08-19,15144.71
2023-08-18,13268.62
2023-08-17,10529.33
2023-08-16,6576.42
2023-08-15,7871.63
2023-08-14,4526.52
2023-08-13,6780.98
2023-08-12,10793.1
2023-08-11,10810.49
2023-08-10,11258.38
2023-08-09,6500.39
2023-08-08,6431.55
2023-08-07,3974.43
2023-08-06,5154.46
2023-08-05,5529.72
2023-08-04,8040.82
2023-08-03,12413.15
2023-08-02,7002.12
2023-08-01,6444.47
2023-07-31,4710.09
2023-07-30,8474.51
2023-07-29,13376.55
2023-07-28,11470.11
2023-07-27,10850.36
2023-07-26,9742.28
2023-07-25,7215.55
2023-07-24,5345.4
2023-07-23,10136.68
2023-07-22,10984.49
2023-07-21,15249.34
2023-07-20,15741.52
2023-07-19,8133.83
2023-07-18,7740.81
2023-07-17,5480.57
2023-07-16,9109.33
2023-07-15,9793.66
2023-07-14,9549.03
2023-07-13,3364.6
2023-07-12,8238.4
2023-07-11,7888.44
2023-07-10,4937.77
2023-07-09,7096.22
2023-07-08,12745.76
2023-07-07,8966.56
2023-07-06,12576.58
2023-07-05,8167.17
2023-07-04,7332.59
2023-07-03,6125.19
2023-07-02,5703.11
2023-07-01,9822.91
2023-06-30,7595.95
2023-06-29,13021.52
2023-06-28,11422.5
2023-06-27,5967.39
2023-06-26,6669.15
2023-06-25,7994.48
2023-06-24,5473.17
2023-06-23,9857.83
2023-06-22,11172.15
2023-06-21,10509.54
2023-06-20,7806.6
2023-06-19,6576.65
2023-06-18,11937.87
2023-06-17,11356.36
2023-06-16,14030.44
2023-06-15,11626.43
2023-06-14,8626.79
2023-06-13,8979.06
2023-06-12,6692.15
2023-06-11,8221.14
2023-06-10,14663.02
2023-06-09,13897.16
2023-06-08,15093.11
2023-06-07,9731.96
2023-06-06,5913.79
2023-06-05,4113.86
2023-06-04,8165.55
2023-06-03,10743.62
2023-06-02,11851.59
2023-06-01,14386.03
2023-05-31,8640.31
2023-05-30,5441.54
2023-05-29,4478.78
2023-05-28,7409.36
2023-05-27,12868.21
2023-05-26,13677.24
2023-05-25,12347.17
2023-05-24,5963.04
2023-05-23,6090.46
2023-05-22,6580.5
2023-05-21,7460.93
2023-05-20,14500.35
2023-05-19,15555.97
2023-05-18,13102.65
2023-05-17,8936.7
2023-05-16,5539.72
2023-05-15,4052.5
2023-05-15,4052.5
2023-05-14,11860.87
2023-05-13,14998.43
2023-05-12,13709.36
2023-05-11,14315.73
2023-05-10,9569.01
2023-05-09,6628.28
2023-05-08,3235.18
2023-05-07,9468.05
2023-05-06,17153.45
2023-05-05,14390.38
2023-05-04,14023.25
2023-05-03,7168.14
2023-05-02,6511.87
2023-05-01,4244.11
2023-04-30,8691.01
2023-04-29,14392.73
2023-04-28,16770.3
2023-04-27,14530.67
2023-04-26,9413.92
2023-04-25,6404.67
2023-04-24,4682.55
2023-04-23,8083.45
2023-04-22,15724.62
2023-04-21,15199.33
2023-04-20,14713.18
2023-04-19,5541.9
2023-04-18,6524.17
2023-04-17,3798.57
2023-04-16,7728.36
2023-04-15,12777.24
2023-04-14,13221.06
2023-04-13,13290.05
2023-04-12,8000.78
2023-04-11,3766.79
2023-04-10,4640.1
2023-04-09,7087.12
2023-04-08,15186.29
2023-04-07,15574.91
2023-04-06,14937.31
2023-04-05,9639.53
2023-04-04,6519.24
2023-04-03,2248.05
2023-04-02,7461.66
2023-04-01,12897.81
2023-03-31,11182.64
2023-03-30,12493.45
2023-03-29,6211.73
2023-03-28,5865.13
2023-03-27,5633.67
2023-03-26,7474.89
2023-03-25,11690.04
2023-03-24,12553.78
2023-03-23,12299.71
2023-03-22,6578.21
2023-03-21,5265.79
2023-03-20,3052.46
2023-03-19,7819.95
2023-03-18,12678.63
2023-03-17,16857.61
2023-03-16,13179.15
2023-03-15,7668.33
2023-03-14,6360.44
2023-03-13,3225.42
2023-03-12,7352.72
2023-03-11,12209.7
2023-03-10,13286.17
2023-03-09,9708.16
2023-03-08,7549.37
2023-03-07,4425.33
2023-03-06,2007.07
2023-03-05,9781.93
2023-03-04,16584.55
2023-03-03,15100.45
2023-03-02,11136.19
2023-03-01,7615.5
2023-02-28,3816.84
2023-02-27,3606.76
2023-02-26,7184.42
2023-02-25,13429.63
2023-02-24,13022.52
2023-02-23,10103.46
2023-02-22,7392.72
2023-02-21,4058.86
2023-02-20,2932.95
2023-02-20,2932.95
2023-02-19,10174.72
2023-02-19,10174.72
2023-02-18,13267.13
2023-02-17,9988.87
2023-02-16,10686.85
2023-02-16,10686.85
2023-02-16,10686.85
2023-02-15,4655.16
2023-02-15,4655.16
2023-02-14,7026.25
2023-02-13,3152.95
2023-02-12,13013.24
2023-02-11,16474.0
2023-02-10,12539.41
2023-02-09,9735.35
2023-02-08,6567.08
2023-02-07,3573.06
2023-02-06,3163.1
2023-02-05,139.5
2023-02-04,8959.11
2023-02-03,9115.5
2023-02-02,9692.14
2023-02-01,7061.37
2023-01-31,4496.0
2023-01-30,2084.42
2023-01-29,10002.54
2023-01-28,11675.27
2023-01-27,12774.15
2023-01-26,9995.14
2023-01-25,6027.12
2023-01-24,6023.72
2023-01-23,3299.8
2023-01-22,9325.11
2023-01-21,16373.89
2023-01-20,7325.94
2023-01-19,12466.71
2023-01-18,5898.62
2023-01-17,5660.66
2023-01-16,2395.76
2023-01-15,8521.15
2023-01-14,14191.99
2023-01-13,9238.63
2023-01-12,11449.07
2023-01-11,4770.63
2023-01-10,2612.39
2023-01-09,63.75
2023-01-08,8735.33
2023-01-07,13458.24
2023-01-06,13796.84
2023-01-05,11490.1
2023-01-04,9967.26
2023-01-03,5319.49
2023-01-02,5812.93
2023-01-01,0.0
2022-12-31,5439.52
2022-12-30,10890.92
2022-12-29,11183.78
2022-12-28,11135.28
2022-12-27,6520.28
2022-12-26,5492.3
2022-12-25,0.0
2022-12-24,148.25
2022-12-23,10049.96
2022-12-22,16618.04
2022-12-21,11869.0
2022-12-20,6037.54
2022-12-19,4729.69
2022-12-18,12273.88
2022-12-17,13990.39
2022-12-16,16900.93
2022-12-15,13772.27
2022-12-14,13618.11
2022-12-13,3204.08
2022-12-12,3975.81
2022-12-11,6927.44
2022-12-10,17331.67
2022-12-09,17519.38
2022-12-08,12222.2
2022-12-07,9610.31
2022-12-06,5081.18
2022-12-05,2301.47
2022-12-04,8795.61
2022-12-03,14827.76
2022-12-02,15648.98
2022-12-01,11123.79
2022-11-30,7723.89
2022-11-29,2941.0
2022-11-28,2250.24
2022-11-27,10767.62
2022-11-26,14604.73
2022-11-25,15578.94
2022-11-24,11418.1
2022-11-23,11853.08
2022-11-22,6056.87
2022-11-21,2015.73
2022-11-20,6135.82
2022-11-19,13967.14
2022-11-18,13008.94
2022-11-17,11373.64
2022-11-16,5555.96
2022-11-15,5073.82
2022-11-14,2601.41
2022-11-13,5468.25
2022-11-12,17802.31
2022-11-11,13587.91
2022-11-10,13116.08
2022-11-09,7569.89
2022-11-08,4176.81
2022-11-07,1556.03
2022-11-06,4544.77
2022-11-05,12869.38
2022-11-04,14637.0
2022-11-03,11425.59
2022-11-02,6835.83
2022-11-01,4724.89
2022-10-31,1745.87
2022-10-30,5145.15
2022-10-29,13063.87
2022-10-28,12894.12
2022-10-27,11630.25
2022-10-26,7560.43
2022-10-25,4143.87
2022-10-24,2549.68
2022-10-23,5017.94
2022-10-22,15499.44
2022-10-21,14177.25
2022-10-20,14869.79
2022-10-19,8063.57
2022-10-18,4335.2
2022-10-17,3859.35
2022-10-16,5449.96
2022-10-15,11116.23
2022-10-14,15023.89
2022-10-13,9203.45
2022-10-12,8704.69
2022-10-11,0.0
2022-10-10,0.0
2022-10-09,6266.03
2022-10-08,9880.2
2022-10-07,11758.51
2022-10-06,9873.65
2022-10-05,6215.64
2022-10-04,0.0
2022-10-03,0.0
2022-10-02,5858.79
2022-10-01,11814.77
2022-09-30,11331.3
2022-09-29,11658.61
2022-09-28,7354.22
2022-09-27,0.0
2022-09-26,0.0
2022-09-25,5258.65
2022-09-24,9865.48
2022-09-23,12951.2
2022-09-22,10041.24
2022-09-21,7319.29
2022-09-20,0.0
2022-09-19,1810.02
2022-09-18,3925.24
2022-09-17,9857.4
2022-09-16,12168.88
2022-09-15,10579.84
2022-09-14,6600.23
2022-09-13,3610.27
2022-09-12,1434.49
2022-09-11,4133.43
2022-09-10,10938.03
2022-09-09,11400.73
2022-09-08,12112.56
2022-09-07,5382.23
2022-09-06,0.0
2022-09-05,0.0
2022-09-04,7545.7
2022-09-03,9132.73
2022-09-02,11554.97
2022-09-01,9849.12
2022-08-31,7089.23
2022-08-30,0.0
2022-08-29,0.0
2022-08-28,5381.09
2022-08-27,10933.86
2022-08-26,12555.75
2022-08-25,11273.53
2022-08-24,6843.3
2022-08-23,0.0
2022-08-22,0.0
2022-08-21,4919.09
2022-08-20,8655.18
2022-08-19,13220.17
2022-08-18,11998.92
2022-08-17,6508.19
2022-08-16,0.0
2022-08-15,0.0
2022-08-14,5136.25
2022-08-13,7438.42
2022-08-12,12974.85
2022-08-11,12043.11
2022-08-10,6542.66
2022-08-09,0.0
2022-08-08,0.0
2022-08-07,5991.3
2022-08-06,8521.9
2022-08-05,11910.85
2022-08-04,11713.93
2022-08-03,7173.04
2022-08-02,0.0
2022-08-01,0.0
2022-07-31,4039.8
2022-07-30,9725.08
2022-07-29,11100.58
2022-07-28,10618.27
2022-07-27,7530.13
2022-07-26,0.0
2022-07-25,0.0
2022-07-24,7039.94
2022-07-23,8668.61
2022-07-22,12588.1
2022-07-21,11283.59
2022-07-20,7594.03
2022-07-19,0.0
2022-07-18,0.0
2022-07-17,6346.73
2022-07-16,8564.87
2022-07-15,10211.54
2022-07-14,11371.12
2022-07-13,8538.02
2022-07-12,0.0
2022-07-11,0.0
2022-07-10,5472.14
2022-07-09,10893.96
2022-07-08,12212.53
2022-07-07,11020.43
2022-07-06,6824.15
2022-07-05,0.0
2022-07-04,0.0
2022-07-03,5463.27
2022-07-02,8342.29
2022-07-01,9992.48
2022-06-30,12744.37
2022-06-29,8032.03
2022-06-28,0.0
2022-06-27,0.0
2022-06-26,6962.98
2022-06-25,7460.39
2022-06-24,8443.43
2022-06-23,12279.48
2022-06-23,12279.48
2022-06-22,9746.82
2022-06-21,0.0
2022-06-20,0.0
2022-06-19,9130.64
2022-06-18,14877.21
2022-06-17,13362.2
2022-06-16,10519.33
2022-06-15,10071.78
2022-06-14,0.0
2022-06-13,0.0
2022-06-12,4965.79
2022-06-11,9295.75
2022-06-10,15379.2
2022-06-09,12529.97
2022-06-08,6327.08
2022-06-07,0.0
2022-06-06,0.0
2022-06-05,9617.2
2022-06-04,11758.63
2022-06-03,12949.56
2022-06-02,13015.54
2022-06-01,5794.59
2022-05-31,0.0
2022-05-30,0.0
2022-05-29,9142.33
2022-05-28,14005.55
2022-05-27,13616.23
2022-05-26,10364.52
2022-05-25,5863.31
2022-05-24,0.0
2022-05-23,0.0
2022-05-22,13506.65
2022-05-21,12069.02
2022-05-20,12805.89
2022-05-19,11406.25
2022-05-18,5642.23
2022-05-17,0.0
2022-05-16,0.0
2022-05-15,10369.89
2022-05-14,13828.84
2022-05-13,13228.75
2022-05-12,11246.62
2022-05-11,6665.49
2022-05-10,0.0
2022-05-09,0.0
2022-05-08,11408.55
2022-05-07,14394.0
2022-05-06,14826.55
2022-05-05,10382.62
2022-05-04,7100.71
2022-05-03,0.0
2022-05-02,0.0
2022-05-01,9411.41
2022-04-30,13844.49
2022-04-29,13482.37
2022-04-28,9645.47
2022-04-27,8162.72
2022-04-26,0.0
2022-04-25,0.0
2022-04-24,6867.45
2022-04-23,10868.09
2022-04-22,11986.95
2022-04-21,9795.93
2022-04-20,4679.2
2022-04-19,0.0
2022-04-18,0.0
2022-04-17,6102.64
2022-04-16,9326.33
2022-04-15,12559.65
2022-04-14,11442.9
2022-04-13,5736.2
2022-04-12,0.0
2022-04-11,0.0
2022-04-11,0.0
2022-04-10,6453.42
2022-04-09,14056.05
2022-04-08,12304.04
2022-04-07,10313.67
2022-04-06,5193.36
2022-04-05,0.0
2022-04-04,0.0
2022-04-03,7001.4
2022-04-02,13332.84
2022-04-01,11875.41
2022-03-31,9675.56
2022-03-30,5653.27
2022-03-29,0.0
2022-03-28,0.5
2022-03-27,6784.76
2022-03-26,12266.29
2022-03-25,13818.69
2022-03-24,9865.69
2022-03-23,5324.28
2022-03-22,0.0
2022-03-21,0.0
2022-03-20,8572.62
2022-03-19,10648.97
2022-03-18,10679.04
2022-03-17,10167.98
2022-03-16,0.0
2022-03-15,0.0
2022-03-14,0.0
2022-03-13,5897.47
2022-03-12,11466.11
2022-03-11,9348.02
2022-03-10,7097.99
2022-03-09,0.0
2022-03-08,0.0
2022-03-07,0.0
2022-03-06,5844.24
2022-03-05,10275.29
2022-03-04,9867.33
2022-03-03,6169.63
2022-03-02,0.0
2022-03-01,0.0
2022-02-28,0.0
2022-02-27,4210.92
2022-02-26,9216.99
2022-02-25,7056.48
2022-02-24,6258.02
2022-02-23,7047.05
2022-02-22,0.0
2022-02-21,0.0
2022-02-20,5218.0
2022-02-19,7638.55
2022-02-18,8059.46
2022-02-17,6510.96
2022-02-16,4098.55
2022-02-15,0.0
2022-02-14,0.0
2022-02-13,2182.7
2022-02-12,1846.38
2022-02-11,1209.49
2022-02-10,805.74
2022-02-09,494.5
2022-02-08,0.0
2022-02-07,0.0
2022-02-06,673.75
2022-02-05,1544.0
2022-02-04,389.0
2022-02-03,267.93
2022-02-02,0.0
2022-02-01,0.0
2022-01-31,0.0
2022-01-30,0.0
2022-01-29,0.0
2022-01-28,6.7
2022-01-27,0.0
2022-01-26,0.0
2022-01-25,0.0
2022-01-24,0.0
2022-01-23,0.0
2022-01-22,0.0
2022-01-21,0.0
2022-01-20,0.0
2022-01-19,0.0
2022-01-18,0.0
2022-01-18,0.0
2022-01-17,0.0
2022-01-16,0.0
2022-01-15,0.0
2022-01-14,0.0
2022-01-13,0.0
2022-01-12,0.0
2022-01-11,0.0
2022-01-10,0.0
2022-01-09,0.0
2022-01-09,0.0
2022-01-08,0.0
2022-01-07,0.0
2022-01-06,0.0
2022-01-05,0.0
2022-01-04,0.0
2022-01-03,0.0
2022-01-02,0.0
2022-01-01,0.0
2021-12-31,0.0
2021-12-30,0.0
2021-12-29,0.0
2021-12-28,0.0
2021-12-27,0.0
2021-12-26,0.0
2021-12-25,0.0
2021-12-24,0.0
2021-12-23,0.0
2021-12-22,0.0
2021-12-21,0.0
2021-12-20,0.0
2021-12-19,0.0
2021-12-18,0.0
2021-12-17,0.0
2021-12-16,0.0
2021-12-15,0.0
2021-12-14,0.0
