sources,date_time,periode,day,vente
MENU CAGE,2021-12-26 00:00:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 00:30:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 01:00:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 01:30:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 02:00:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 02:30:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 03:00:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 03:30:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 04:00:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 04:30:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 05:00:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 05:30:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 06:00:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 06:30:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 07:00:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 07:30:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 08:00:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 08:30:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 09:00:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 09:30:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 10:00:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 10:30:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 11:00:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 11:30:00,11 A 2,Dim,0.0
MENU CAGE,2021-12-26 12:00:00,11 A 2,Dim,0.0
MENU CAGE,2021-12-26 12:30:00,11 A 2,Dim,0.0
MENU CAGE,2021-12-26 13:00:00,11 A 2,Dim,0.0
MENU CAGE,2021-12-26 13:30:00,11 A 2,Dim,0.0
MENU CAGE,2021-12-26 14:00:00,11 A 2,Dim,0.0
MENU CAGE,2021-12-26 14:30:00,2 A 4,Dim,0.0
MENU CAGE,2021-12-26 15:00:00,2 A 4,Dim,0.0
MENU CAGE,2021-12-26 15:30:00,2 A 4,Dim,0.0
MENU CAGE,2021-12-26 16:00:00,2 A 4,Dim,0.0
MENU CAGE,2021-12-26 16:30:00,4 A 7,Dim,0.0
MENU CAGE,2021-12-26 17:00:00,4 A 7,Dim,0.0
MENU CAGE,2021-12-26 17:30:00,4 A 7,Dim,0.0
MENU CAGE,2021-12-26 18:00:00,4 A 7,Dim,0.0
MENU CAGE,2021-12-26 18:30:00,4 A 7,Dim,0.0
MENU CAGE,2021-12-26 19:00:00,4 A 7,Dim,0.0
MENU CAGE,2021-12-26 19:30:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 20:00:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 20:30:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 21:00:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 21:30:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 22:00:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 22:30:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 23:00:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-26 23:30:00,7 A CL,Dim,0.0
MENU CAGE,2021-12-27 00:00:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 00:30:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 01:00:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 01:30:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 02:00:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 02:30:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 03:00:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 03:30:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 04:00:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 04:30:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 05:00:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 05:30:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 06:00:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 06:30:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 07:00:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 07:30:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 08:00:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 08:30:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 09:00:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 09:30:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 10:00:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 10:30:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 11:00:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 11:30:00,11 A 2,Lun,0.0
MENU CAGE,2021-12-27 12:00:00,11 A 2,Lun,0.0
MENU CAGE,2021-12-27 12:30:00,11 A 2,Lun,0.0
MENU CAGE,2021-12-27 13:00:00,11 A 2,Lun,0.0
MENU CAGE,2021-12-27 13:30:00,11 A 2,Lun,0.0
MENU CAGE,2021-12-27 14:00:00,11 A 2,Lun,0.0
MENU CAGE,2021-12-27 14:30:00,2 A 4,Lun,0.0
MENU CAGE,2021-12-27 15:00:00,2 A 4,Lun,0.0
MENU CAGE,2021-12-27 15:30:00,2 A 4,Lun,0.0
MENU CAGE,2021-12-27 16:00:00,2 A 4,Lun,0.0
MENU CAGE,2021-12-27 16:30:00,4 A 7,Lun,0.0
MENU CAGE,2021-12-27 17:00:00,4 A 7,Lun,0.0
MENU CAGE,2021-12-27 17:30:00,4 A 7,Lun,0.0
MENU CAGE,2021-12-27 18:00:00,4 A 7,Lun,0.0
MENU CAGE,2021-12-27 18:30:00,4 A 7,Lun,0.0
MENU CAGE,2021-12-27 19:00:00,4 A 7,Lun,0.0
MENU CAGE,2021-12-27 19:30:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 20:00:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 20:30:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 21:00:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 21:30:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 22:00:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 22:30:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 23:00:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-27 23:30:00,7 A CL,Lun,0.0
MENU CAGE,2021-12-28 00:00:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 00:30:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 01:00:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 01:30:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 02:00:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 02:30:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 03:00:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 03:30:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 04:00:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 04:30:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 05:00:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 05:30:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 06:00:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 06:30:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 07:00:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 07:30:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 08:00:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 08:30:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 09:00:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 09:30:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 10:00:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 10:30:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 11:00:00,7 A CL,Mar,0.0
MENU CAGE,2021-12-28 11:30:00,11 A 2,Mar,0.0
MENU CAGE,2021-12-28 12:00:00,11 A 2,Mar,0.0
MENU CAGE,2021-12-28 12:30:00,11 A 2,Mar,0.0
MENU CAGE,2021-12-28 13:00:00,11 A 2,Mar,0.0
MENU CAGE,2021-12-28 13:30:00,11 A 2,Mar,0.0
MENU CAGE,2021-12-28 14:00:00,11 A 2,Mar,0.0
MENU CAGE,2021-12-28 14:30:00,2 A 4,Mar,0.0
MENU CAGE,2021-12-28 15:00:00,2 A 4,Mar,0.0
MENU CAGE,2021-12-28 15:30:00,2 A 4,Mar,0.0
MENU CAGE,2021-12-28 16:00:00,2 A 4,Mar,0.0
MENU CAGE,2021-12-28 16:30:00,4 A 7,Mar,0.0
MENU CAGE,2021-12-28 17:00:00,4 A 7,Mar,0.0
MENU CAGE,2021-12-28 17:30:00,4 A 7,Mar,0.0
MENU CAGE,2021-12-28 18:00:00,4 A 7,Mar,0.0
