id,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,source
CWTA,2021-12-14,1639458000,4.7,-3.6,0.8,2.1,-3.8,-1.1,-7.7,53.9,0.0,0.0,0.0,0.0,0.5,27.7,13.2,321.0,1032.5,15.5,27.9,68.7,5.9,3.0,,07:27:03,1639484823,16:11:31,1639516291,0.35,Clear,Clear conditions throughout the day.,clear-day,obs
CWTA,2021-12-15,1639544400,2.4,-4.1,-2.1,0.8,-8.4,-4.3,-7.3,68.7,4.62,100.0,25.0,0.4,0.7,,11.7,59.8,1032.1,79.6,23.4,38.6,3.3,2.0,,07:27:49,1639571269,16:11:44,1639602704,0.38,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,obs
CWTA,2021-12-16,1639630800,15.0,1.5,7.8,15.0,0.2,7.1,5.3,85.8,2.286,100.0,41.67,0.0,0.5,51.8,15.6,203.2,1007.1,89.9,20.5,26.5,2.2,1.0,,07:28:32,1639657712,16:12:00,1639689120,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,obs
CWTA,2021-12-17,1639717200,12.8,0.8,5.3,12.8,-1.3,2.6,-2.9,55.8,0.0,0.0,0.0,0.0,0.0,49.2,23.2,218.0,1012.3,38.4,26.7,28.0,2.2,2.0,,07:29:12,1639744152,16:12:19,1639775539,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,obs
CWTA,2021-12-18,1639803600,-0.1,-6.3,-4.1,-2.0,-12.0,-8.5,-9.6,67.2,5.253,100.0,37.5,2.9,1.1,33.5,15.1,23.3,1021.6,76.3,15.2,24.4,2.2,1.0,,07:29:51,1639830591,16:12:40,1639861960,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,obs
CWTA,2021-12-19,1639890000,-4.4,-10.8,-6.7,-8.1,-14.6,-11.1,-10.8,72.9,1.608,100.0,25.0,3.7,5.4,31.3,16.1,323.1,1021.6,64.5,17.8,65.1,5.6,4.0,,07:30:27,1639917027,16:13:04,1639948384,0.52,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,obs
CWTA,2021-12-20,1639976400,-1.3,-13.2,-7.4,-5.1,-15.4,-10.2,-11.2,74.5,0.015,100.0,4.17,0.0,6.0,,11.8,183.7,1022.1,73.8,23.9,41.0,3.5,3.0,,07:31:01,1640003461,16:13:31,1640034811,0.55,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,obs
CWTA,2021-12-21,1640062800,1.7,-5.9,-2.3,-1.6,-11.1,-5.7,-8.5,63.1,0.74,100.0,20.83,0.0,5.6,45.5,15.1,335.4,1014.5,62.7,21.9,66.8,5.7,3.0,,07:31:32,1640089892,16:14:00,1640121240,0.59,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,obs
CWTA,2021-12-22,1640149200,0.3,-7.3,-3.3,0.0,-12.5,-6.5,-7.2,74.3,0.015,100.0,4.17,0.0,5.0,44.3,14.8,314.5,1002.6,69.9,19.4,23.8,2.1,1.0,,07:32:01,1640176321,16:14:31,1640207671,0.62,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,rain,obs
CWTA,2021-12-23,1640235600,-8.3,-14.2,-12.2,-12.5,-19.2,-16.4,-18.2,61.3,0.273,100.0,12.5,0.0,4.6,40.7,12.9,256.0,1019.9,21.5,27.9,72.9,6.3,3.0,,07:32:27,1640262747,16:15:05,1640294105,0.65,"Snow, Partially cloudy",Partly cloudy throughout the day with morning snow.,snow,obs
