Date,h_11:30,h_12:00,h_12:30,h_13:00,h_13:30,h_14:00,h_14:30,h_15:00,h_15:30,h_16:00,h_16:30,h_17:00,h_17:30,h_18:00,h_18:30,h_19:00,h_19:30,h_20:00,h_20:30,h_21:00,h_21:30,h_22:00,h_22:30,h_23:00,h_23:30
2023-09-17,1.0,6.0,10.0,9.0,6.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,16.0,16.0,22.0,15.0,12.0,12.0,7.0,9.0,9.0,2.0,4.0,1.0,1.0
2023-09-18,1.0,4.0,7.0,6.0,2.0,3.0,2.0,2.0,2.0,3.0,13.0,6.0,8.0,13.0,18.0,13.0,11.0,11.0,5.0,7.0,8.0,2.0,1.0,0.0,1.0
2023-09-19,2.0,6.0,12.0,8.0,4.0,3.0,2.0,3.0,4.0,5.0,6.0,8.0,15.0,17.0,21.0,17.0,15.0,10.0,7.0,9.0,11.0,2.0,2.0,1.0,1.0
2023-09-20,1.0,8.0,14.0,11.0,7.0,7.0,5.0,4.0,4.0,7.0,9.0,11.0,17.0,20.0,25.0,21.0,16.0,12.0,8.0,8.0,8.0,3.0,1.0,2.0,1.0
2023-09-21,2.0,10.0,16.0,10.0,9.0,6.0,6.0,4.0,5.0,8.0,18.0,14.0,23.0,26.0,29.0,24.0,23.0,15.0,18.0,14.0,14.0,8.0,6.0,2.0,1.0
2023-09-22,2.0,8.0,15.0,11.0,10.0,8.0,8.0,6.0,7.0,10.0,11.0,14.0,23.0,24.0,30.0,32.0,26.0,23.0,18.0,15.0,15.0,8.0,6.0,2.0,1.0
2023-09-23,1.0,8.0,12.0,10.0,10.0,8.0,10.0,7.0,5.0,7.0,15.0,11.0,23.0,23.0,27.0,27.0,16.0,10.0,10.0,10.0,9.0,6.0,8.0,2.0,1.0
2023-09-24,1.0,4.0,7.0,6.0,5.0,5.0,4.0,3.0,5.0,6.0,9.0,11.0,15.0,19.0,23.0,17.0,15.0,11.0,6.0,7.0,7.0,2.0,6.0,2.0,1.0
2023-09-25,1.0,4.0,6.0,5.0,5.0,5.0,4.0,2.0,3.0,6.0,9.0,9.0,10.0,16.0,23.0,17.0,14.0,12.0,6.0,7.0,7.0,3.0,6.0,2.0,1.0
2023-09-26,2.0,4.0,9.0,6.0,7.0,5.0,4.0,4.0,4.0,5.0,17.0,11.0,15.0,19.0,23.0,18.0,15.0,8.0,7.0,8.0,7.0,3.0,6.0,2.0,1.0
2023-09-27,2.0,12.0,12.0,6.0,7.0,6.0,5.0,4.0,4.0,6.0,8.0,11.0,19.0,20.0,25.0,21.0,15.0,9.0,7.0,8.0,10.0,2.0,7.0,2.0,0.0
2023-09-28,2.0,11.0,15.0,6.0,7.0,7.0,6.0,4.0,3.0,6.0,10.0,13.0,20.0,22.0,27.0,24.0,16.0,14.0,7.0,11.0,22.0,6.0,8.0,3.0,1.0
2023-09-29,2.0,6.0,12.0,6.0,7.0,7.0,6.0,4.0,4.0,5.0,10.0,13.0,20.0,22.0,27.0,28.0,16.0,17.0,8.0,10.0,19.0,7.0,10.0,3.0,1.0
2023-09-30,2.0,6.0,10.0,6.0,7.0,7.0,6.0,5.0,4.0,6.0,10.0,12.0,17.0,19.0,25.0,21.0,15.0,11.0,7.0,8.0,8.0,4.0,12.0,3.0,1.0
