date,attendance_concerts,attendance_conferences,attendance_expos,attendance_festivals,attendance_performing_arts,attendance_sports
2022-06-17,5151,0,141,58140,0,0
2022-06-18,3744,0,124,69767,1386,0
2022-06-19,984,500,121,0,1805,0
2022-06-20,2504,500,0,0,0,0
2022-06-21,2519,500,329,0,0,0
2022-06-22,1161,500,124,0,0,0
2022-06-23,4103,0,179,505,0,0
2022-06-24,2433,15000,350,0,0,0
2022-06-25,2121,15000,178,0,0,0
2022-06-26,4320,15000,167,0,0,0
2022-06-27,0,15000,0,300,0,0
2022-06-28,537,15000,253,0,0,0
2022-06-29,884,0,337,0,0,0
2022-06-30,5156,0,123,1138,0,0
2022-07-01,3612,0,266,598,0,0
2022-07-02,2212,0,166,357,0,0
2022-07-03,5652,0,227,298,0,0
2022-07-04,6744,0,283,238,0,0
2022-07-05,3252,0,565,1138,0,0
2022-07-06,2401,0,248,238,0,0
2022-07-07,384,0,295,1138,0,0
2022-07-08,5675,0,203,298,0,0
2022-07-09,2996,0,253,357,0,0
2022-07-10,2168,0,173,0,0,0
2022-07-11,576,500,208,0,0,0
2022-07-12,0,500,299,0,0,0
2022-07-13,235,500,235,93209,0,0
2022-07-14,1829,500,692,95076,251,0
2022-07-15,1987,500,210,118844,0,0
2022-07-16,2744,0,179,142614,0,0
2022-07-17,2162,0,1182,118844,0,0
2022-07-18,2023,0,1014,95076,0,0
2022-07-19,0,0,989,95076,0,0
2022-07-20,576,0,1080,95076,1385,0
2022-07-21,576,0,989,95076,1385,0
2022-07-22,1086,0,1204,118844,3191,0
2022-07-23,1434,0,233,142614,3191,0
2022-07-24,2656,0,214,118844,1385,0
2022-07-25,0,0,565,95076,0,0
2022-07-26,0,0,248,95076,2769,0
2022-07-27,0,0,299,95076,5328,0
2022-07-28,0,0,323,95076,5953,0
2022-07-29,2617,0,356,118844,3434,0
2022-07-30,3036,0,233,142614,2307,0
2022-07-31,0,0,221,118844,875,0
2022-08-01,0,0,0,429167,0,0
2022-08-02,0,0,0,429167,0,0
2022-08-03,0,0,360,429167,0,0
2022-08-04,2060,0,361,425000,0,0
2022-08-05,1089,0,7130,531250,0,0
2022-08-06,2773,0,7031,637500,0,0
2022-08-07,0,0,6937,533550,0,0
2022-08-08,0,0,0,0,0,0
