,time,apparent_temperature_max,apparent_temperature_min,sunset,uv_index_max,rain_sum,showers_sum,snowfall_sum,precipitation_hours
0,2022-06-20,,,20.8,,,,,0.0
1,2022-06-21,,,20.8,,,,,0.0
2,2022-06-22,,,20.8,,,,,0.0
3,2022-06-23,,,20.8,,,,,0.0
4,2022-06-24,,,20.8,,,,,0.0
5,2022-06-25,,,20.8,,,,,0.0
6,2022-06-26,,,20.8,,,,,0.0
7,2022-06-27,,,20.8,,,,,0.0
8,2022-06-28,,,20.8,,,,,0.0
9,2022-06-29,,,20.8,,,,,0.0
10,2022-06-30,,,20.8,,,,,0.0
11,2022-07-01,,,20.8,,,,,0.0
12,2022-07-02,,,20.8,,,,,0.0
13,2022-07-03,,,20.78,,,,,0.0
14,2022-07-04,,,20.78,,,,,0.0
15,2022-07-05,,,20.78,,,,,0.0
16,2022-07-06,,,20.77,,,,,0.0
17,2022-07-07,,,20.77,,,,,0.0
18,2022-07-08,,,20.77,,,,,0.0
19,2022-07-09,,,20.75,,,,,0.0
20,2022-07-10,,,20.75,,,,,0.0
21,2022-07-11,,,20.73,,,,,0.0
22,2022-07-12,,,20.72,,,,,0.0
23,2022-07-13,,,20.72,,,,,0.0
24,2022-07-14,,,20.7,,,,,0.0
25,2022-07-15,,,20.68,,,,,0.0
26,2022-07-16,,,20.67,,,,,0.0
27,2022-07-17,,,20.67,,,,,0.0
28,2022-07-18,,,20.65,,,,,0.0
29,2022-07-19,,,20.63,,,,,0.0
30,2022-07-20,,,20.62,,,,,0.0
31,2022-07-21,,,20.6,,,,,0.0
32,2022-07-22,,,20.58,,,,,0.0
33,2022-07-23,,,20.57,,,,,0.0
34,2022-07-24,,,20.55,,,,,0.0
35,2022-07-25,,,20.53,,,,,0.0
36,2022-07-26,,,20.52,,,,,0.0
37,2022-07-27,,,20.5,,,,,0.0
38,2022-07-28,,,20.48,,,,,0.0
39,2022-07-29,,,20.47,,,,,0.0
40,2022-07-30,,,20.43,,,,,0.0
41,2022-07-31,,,20.42,,,,,0.0
42,2022-08-01,,,20.4,,,,,0.0
43,2022-08-02,,,20.37,,,,,0.0
44,2022-08-03,,,20.35,,,,,0.0
45,2022-08-04,,,20.33,,,,,0.0
46,2022-08-05,,,20.3,,,,,0.0
47,2022-08-06,,,20.28,,,,,0.0
48,2022-08-07,,,20.25,,,,,0.0
49,2022-08-08,,,20.23,,,,,0.0
50,2022-08-09,,,20.22,,,,,0.0
51,2022-08-10,,,20.18,,,,,0.0
52,2022-08-11,,,20.15,,,,,0.0
53,2022-08-12,,,20.13,,,,,0.0
54,2022-08-13,,,20.1,,,,,0.0
55,2022-08-14,,,20.08,,,,,0.0
56,2022-08-15,,,20.05,,,,,0.0
57,2022-08-16,,,20.03,,,,,0.0
58,2022-08-17,,,20.0,,,,,0.0
59,2022-08-18,,,19.97,,,,,0.0
60,2022-08-19,,,19.95,,,,,0.0
61,2022-08-20,,,19.92,,,,,0.0
62,2022-08-21,,,19.88,,,,,0.0
63,2022-08-22,,,19.85,,,,,0.0
64,2022-08-23,,,19.83,,,,,0.0
65,2022-08-24,,,19.8,,,,,0.0
66,2022-08-25,,,19.77,,,,,0.0
67,2022-08-26,,,19.73,,,,,0.0
68,2022-08-27,,,19.72,,,,,0.0
69,2022-08-28,,,19.68,,,,,0.0
70,2022-08-29,,,19.65,,,,,0.0
71,2022-08-30,,,19.62,,,,,0.0
72,2022-08-31,,,19.58,,,,,0.0
73,2022-09-01,,,19.55,,,,,0.0
74,2022-09-02,,,19.53,,,,,0.0
75,2022-09-03,,,19.5,,,,,0.0
76,2022-09-04,,,19.47,,,,,0.0
77,2022-09-05,,,19.43,,,,,0.0
78,2022-09-06,,,19.4,,,,,0.0
79,2022-09-07,,,19.37,,,,,0.0
80,2022-09-08,,,19.33,,,,,0.0
81,2022-09-09,,,19.3,,,,,0.0
82,2022-09-10,,,19.27,,,,,0.0
83,2022-09-11,,,19.23,,,,,0.0
84,2022-09-12,,,19.22,,,,,0.0
85,2022-09-13,,,19.18,,,,,0.0
86,2022-09-14,,,19.15,,,,,0.0
87,2022-09-15,,,19.12,,,,,0.0
88,2022-09-16,,,19.08,,,,,0.0
89,2022-09-17,,,19.05,,,,,0.0
90,2022-09-18,,,19.02,,,,,0.0
91,2022-09-19,,,18.98,,,,,0.0
92,2022-09-20,,,18.95,,,,,0.0
93,2022-09-21,,,18.92,,,,,0.0
94,2022-09-22,,,18.88,,,,,0.0
95,2022-09-23,,,18.85,,,,,0.0
96,2022-09-24,,,18.82,,,,,0.0
97,2022-09-25,,,18.78,,,,,0.0
98,2022-09-26,,,18.75,,,,,0.0
99,2022-09-27,,,18.73,,,,,0.0
100,2022-09-28,,,18.7,,,,,0.0
101,2022-09-29,,,18.67,,,,,0.0
102,2022-09-30,,,18.63,,,,,0.0
103,2022-10-01,,,18.6,,,,,0.0
104,2022-10-02,,,18.57,,,,,0.0
105,2022-10-03,,,18.53,,,,,0.0
106,2022-10-04,,,18.5,,,,,0.0
107,2022-10-05,,,18.47,,,,,0.0
108,2022-10-06,,,18.43,,,,,0.0
109,2022-10-07,,,18.42,,,,,0.0
110,2022-10-08,,,18.38,,,,,0.0
111,2022-10-09,,,18.35,,,,,0.0
112,2022-10-10,,,18.32,,,,,0.0
113,2022-10-11,,,18.28,,,,,0.0
114,2022-10-12,,,18.25,,,,,0.0
115,2022-10-13,,,18.23,,,,,0.0
116,2022-10-14,,,18.2,,,,,0.0
117,2022-10-15,,,18.17,,,,,0.0
118,2022-10-16,,,18.13,,,,,0.0
119,2022-10-17,,,18.12,,,,,0.0
120,2022-10-18,,,18.08,,,,,0.0
121,2022-10-19,,,18.05,,,,,0.0
122,2022-10-20,,,18.03,,,,,0.0
123,2022-10-21,,,18.0,,,,,0.0
124,2022-10-22,,,17.97,,,,,0.0
125,2022-10-23,,,17.95,,,,,0.0
126,2022-10-24,,,17.92,,,,,0.0
127,2022-10-25,,,17.88,,,,,0.0
128,2022-10-26,,,17.87,,,,,0.0
129,2022-10-27,,,17.83,,,,,0.0
130,2022-10-28,,,17.82,,,,,0.0
131,2022-10-29,,,17.78,,,,,0.0
132,2022-10-30,,,17.77,,,,,0.0
133,2022-10-31,,,17.73,,,,,0.0
134,2022-11-01,,,17.72,,,,,0.0
135,2022-11-02,,,17.68,,,,,0.0
136,2022-11-03,,,17.67,,,,,0.0
137,2022-11-04,16.1,6.8,17.65,,0.0,0.0,0.0,0.0
138,2022-11-05,21.8,11.1,17.62,,0.01,0.2,0.0,2.0
139,2022-11-06,18.7,14.6,17.6,,6.62,4.1,0.0,10.0
140,2022-11-07,14.1,1.7,17.58,,0.0,0.0,0.0,0.0
141,2022-11-08,2.6,-2.6,17.55,,0.0,0.0,0.0,0.0
142,2022-11-09,3.8,-3.4,17.53,,0.0,0.0,0.0,0.0
143,2022-11-10,12.1,1.4,17.52,,0.0,0.0,0.0,0.0
144,2022-11-11,14.1,7.1,17.5,,24.6,0.1,0.0,6.0
145,2022-11-12,14.7,4.6,17.48,,28.24,0.5,0.0,13.0
146,2022-11-13,5.4,-5.6,17.47,,1.05,0.4,0.0,3.0
147,2022-11-14,-2.9,-7.8,17.43,,0.0,0.0,0.0,0.0
148,2022-11-15,-1.8,-7.0,17.42,,0.0,0.0,0.0,0.0
149,2022-11-16,-2.8,-5.3,17.4,,24.15,0.2,1.89,13.0
150,2022-11-17,-4.5,-11.3,17.38,,0.0,0.6,0.0,0.0
151,2022-11-18,-5.2,-11.7,17.38,,0.15,0.0,0.0,1.0
152,2022-11-19,-2.7,-7.6,17.37,,1.2,0.6,0.0,3.0
153,2022-11-20,-5.6,-14.1,17.35,,0.3,0.3,0.0,1.0
154,2022-11-21,-2.7,-14.0,17.33,,0.0,0.0,0.0,0.0
155,2022-11-22,-3.2,-8.3,17.32,,0.0,0.0,0.0,0.0
156,2022-11-23,-1.0,-6.8,17.3,,0.0,0.1,0.0,0.0
157,2022-11-24,-1.4,-7.0,17.3,,0.0,0.0,0.0,0.0
158,2022-11-25,1.3,-6.6,17.28,,6.3,0.0,0.0,8.0
159,2022-11-26,3.3,-3.2,17.27,,0.0,0.0,0.0,0.0
160,2022-11-27,6.2,-0.6,17.27,,6.0,0.0,0.0,4.0
161,2022-11-28,0.3,-4.4,17.25,,4.65,0.1,0.0,6.0
162,2022-11-29,-3.0,-6.3,17.25,,0.0,0.0,0.0,0.0
163,2022-11-30,3.3,-4.4,17.23,,24.0,0.4,0.0,11.0
164,2022-12-01,-3.5,-6.8,17.23,,0.45,0.9,0.0,2.0
165,2022-12-02,-1.0,-8.5,17.23,,0.0,0.0,0.0,0.0
166,2022-12-03,3.6,-2.8,17.22,,11.7,0.6,0.0,12.0
167,2022-12-04,-3.4,-8.7,17.22,,0.0,0.1,0.0,0.0
168,2022-12-05,0.8,-4.6,17.22,,0.0,0.1,0.0,0.0
169,2022-12-06,5.0,-2.0,17.2,,29.1,0.0,0.0,10.0
170,2022-12-07,7.8,3.3,17.2,,9.3,0.0,0.0,7.0
171,2022-12-08,2.8,-5.0,17.2,,0.0,0.1,0.0,0.0
172,2022-12-09,-5.8,-14.0,17.2,,0.0,0.0,0.0,0.0
173,2022-12-10,-10.3,-16.3,17.2,,0.0,0.0,0.0,0.0
174,2022-12-11,-10.0,-14.2,17.2,,0.0,0.0,0.0,0.0
175,2022-12-12,-8.3,-15.1,17.2,,0.0,0.0,0.0,0.0
176,2022-12-13,-5.9,-13.8,17.2,,0.0,0.0,0.0,0.0
177,2022-12-14,-1.9,-13.2,17.22,,0.0,0.0,0.0,0.0
178,2022-12-15,0.4,-4.2,17.22,,0.0,0.0,0.0,0.0
179,2022-12-16,-2.7,-5.4,17.22,,23.55,0.0,0.0,16.0
180,2022-12-17,-2.9,-5.1,17.22,,28.95,0.1,0.0,24.0
181,2022-12-18,-3.2,-7.9,17.23,,0.0,0.0,0.0,0.0
182,2022-12-19,-4.3,-9.2,17.23,,0.15,0.0,0.0,1.0
183,2022-12-20,-6.2,-10.4,17.23,,0.0,0.0,0.0,0.0
184,2022-12-21,-3.5,-10.8,17.25,,0.0,0.2,0.0,0.0
185,2022-12-22,-8.3,-14.4,17.25,,0.75,0.0,0.0,1.0
186,2022-12-23,1.8,-15.7,17.27,,33.75,0.7,0.0,21.0
187,2022-12-24,-15.1,-18.2,17.28,,6.45,0.0,0.0,9.0
188,2022-12-25,-9.5,-15.9,17.28,,1.5,0.6,0.0,5.0
189,2022-12-26,-8.5,-14.7,17.3,,0.75,0.0,0.0,3.0
190,2022-12-27,-9.0,-13.4,17.32,,1.2,0.0,0.0,5.0
191,2022-12-28,-3.5,-12.7,17.32,,7.05,0.0,0.0,15.0
192,2022-12-29,0.5,-6.8,17.33,,0.0,0.0,0.0,0.0
193,2022-12-30,6.1,-0.3,17.35,,0.9,0.0,0.0,4.0
194,2022-12-31,7.2,3.6,17.37,,9.15,0.0,0.0,15.0
195,2023-01-01,4.0,-3.2,17.38,,11.7,0.0,0.0,14.0
196,2023-01-02,1.3,-2.2,17.4,,0.45,0.0,0.0,2.0
197,2023-01-03,0.8,-3.2,17.42,,0.0,0.0,0.0,0.0
198,2023-01-04,-1.0,-8.0,17.43,,1.5,0.0,0.0,5.0
199,2023-01-05,-7.3,-11.0,17.45,,26.4,0.2,0.0,9.0
200,2023-01-06,-2.7,-8.2,17.47,,0.6,0.0,0.0,3.0
201,2023-01-07,-2.6,-14.2,17.48,,0.6,0.0,0.0,3.0
202,2023-01-08,-9.4,-15.7,17.5,,0.0,0.0,0.0,0.0
203,2023-01-09,-4.8,-8.5,17.52,,1.2,0.0,0.0,6.0
204,2023-01-10,-6.1,-17.3,17.53,,0.0,0.0,0.0,0.0
205,2023-01-11,-13.5,-18.6,17.55,,0.0,0.0,0.0,0.0
206,2023-01-12,-3.2,-14.1,17.57,,19.65,0.0,0.0,14.0
207,2023-01-13,-5.5,-9.2,17.6,,26.9,0.0,0.0,20.0
208,2023-01-14,-8.8,-13.6,17.62,,0.0,0.0,0.0,0.0
